,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
132,2012-05-20,2899.22915758472,2012-05-20,2012-05-21,57.9166666666667,16.6666666666667,7.86666666666667,1015.875,226.875,126.25,3.34491008333333,0.00661815540746834,4.66666666666667,0.375,0.0,0.5
133,2012-05-21,4665.39806141052,2012-05-21,2012-05-22,88.0,13.9166666666667,11.775,1014.66666666667,199.333333333333,80.8333333333333,3.1250025,0.00864925102338466,1.91666666666667,1.08333333333333,0.000256015576919872,0.5
134,2012-05-22,4297.25559015386,2012-05-22,2012-05-23,95.5,15.3333333333333,14.4833333333333,1004.83333333333,87.4166666666667,52.0833333333333,3.70370666666667,0.0103844509682129,3.33333333333333,0.375,0.00152445096821288,0.5
135,2012-05-23,4971.80963999778,2012-05-23,2012-05-24,86.4583333333333,17.9583333333333,15.4791666666667,1005.29166666667,250.333333333333,147.5,2.76620591666667,0.0110488053371748,5.95833333333333,0.0,0.00218880533717483,0.5
136,2012-05-24,5092.58885841444,2012-05-24,2012-05-25,85.0833333333333,17.8333333333333,15.1041666666667,1013.875,211.166666666667,136.666666666667,4.3750035,0.0107093018590897,5.83333333333333,0.0,0.0018493018590897,0.5
137,2012-05-25,3695.24480493832,2012-05-25,2012-05-26,87.0833333333333,17.9583333333333,15.6083333333333,1014.20833333333,89.75,137.083333333333,3.69213258333333,0.0110911831452101,5.95833333333333,0.0416666666666667,0.00223118314521011,0.5
138,2012-05-26,2531.87261924334,2012-05-26,2012-05-27,66.5,24.5,17.2916666666667,1009.625,282.291666666667,251.666666666667,4.28241083333333,0.0123440904208773,12.5,0.0,0.00351461925578337,0.5
139,,,,,,,,,,,,,,,,
140,2012-05-28,3573.86166673526,2012-05-28,2012-05-29,84.9166666666667,17.35,14.5458333333333,1007.79166666667,216.625,193.75,3.73842891666667,0.0103868085016145,5.35,0.0,0.00152680850161449,0.2
141,,,,,,,,,,,,,,,,
142,2012-05-30,4415.99522398412,2012-05-30,2012-05-31,73.2083333333333,21.125,15.7666666666667,998.083333333333,118.666666666667,224.166666666667,2.85879858333333,0.0113283816726679,9.125,0.0,0.00246838167266795,0.5
143,2012-06-02,2692.98984100763,2012-06-02,2012-06-03,89.2083333333333,15.0,13.0666666666667,1001.45833333333,17.4583333333333,117.083333333333,6.53935708333334,0.00957421436058497,3.0,0.583333333333333,0.00105533446945093,0.5
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,2012-06-05,4975.50527606346,2012-06-05,2012-06-06,82.5833333333333,11.375,8.35833333333334,1002.91666666667,76.25,173.333333333333,3.57639175,0.00691022736513157,0.0833333333333333,3.625,0.0,0.5
147,,,,,,,,,,,,,,,,
148,2012-06-07,4786.14889428206,2012-06-07,2012-06-08,86.5,14.5,12.1083333333333,1005.875,306.125,156.666666666667,3.1250025,0.00885408629180325,2.5,1.0,0.000144536089855481,0.5
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,2012-06-10,3138.85685961787,2012-06-10,2012-06-11,57.6666666666667,19.375,10.1791666666667,1010.41666666667,371.041666666667,189.166666666667,3.96991058333333,0.00780785476257382,7.375,0.0,8.30567100157513e-05,0.5
152,2012-06-11,4819.10677372199,2012-06-11,2012-06-12,68.9583333333333,17.7916666666667,11.7833333333333,1015.91666666667,299.75,160.0,4.027781,0.00858002202248541,5.79166666666667,0.125,0.000165520789416584,0.5
